Questions,Answers
How can I incorporate a company in Malaysia?,"Incorporating a company in Malaysia involves a series of steps. Here's a simplified guide:
Steps to Incorporate a Company in Malaysia
1. Name Search & Approval: The first step is to choose a unique name for your company. You'll need to submit the name to the Companies Commission of Malaysia (SSM) for approval.
2. Prepare Documents: Once the name is approved, you'll need to prepare the following documents:
●      Constitution (Optional but if there are different classes of shares, the Company must adopt a Constitution) 
●      Statutory Declaration by a Director or Promoter
3. Submit Forms: Submit the prepared documents along with the necessary forms to SSM. The forms include:
●      Section 14 (Super forms/ Application for Registration of a Company) 
4. Pay Fees: There will be a registration fee that you need to pay to SSM, RM1,010. The amount depends on the authorised capital of your company.
5. Collect Certificate: Once the documents are verified and the fees are paid, SSM will issue a Certificate of Incorporation.
6. Appointment of 1st Secretary: Appoint within 30 days from date of incorporation. 
7. Open Bank Account: With the Certificate of Incorporation, you can now open a corporate bank account. 
Kindly be reminded to bank in the amount of share capital injected when incorporation into the bank account of the Company (you may refer to the Section 14). 
8. Additional Licenses: Depending on the nature of your business, you may need to obtain additional licenses or permits.
9. Start Operations: Once everything is in place, you can officially start your business operations.
Important Points to Note
●      You'll need at least one director and one shareholder who are at least 18 years old.
●      The director must be a resident in Malaysia.
●      You'll also need a company secretary, who is a member of a professional body or licensed by SSM.
I hope this guide helps you understand the process of incorporating a company in Malaysia. If you have more questions, feel free to ask!"
How long does the incorporation process take?,"The time it takes to incorporate a company in Malaysia can vary depending on several factors, such as the complexity of your business structure and how quickly you can gather all the required documents. However, here's a general timeline:
Typical Timeframe for Company Incorporation in Malaysia
1. Name Approval: 1 to 3 working days - The Companies Commission of Malaysia (SSM) usually takes this time to approve or reject your proposed company name.
Document Preparation: 2 to 5 working days - This includes preparing the statutory declarations, and other required forms.
2. Submission to SSM: 1 working day - Once all documents are ready and signed, they can be submitted to SSM for registration.
3. Issuance of Certificate of Incorporation: 1 to 3 working days - After verifying your documents and receiving the registration fee, SSM will issue the Certificate of Incorporation.
4. Opening a Bank Account: at least 1 to 2 weeks - The time can vary depending on the bank and the type of account you're opening. 
Kindly be reminded to bank in the amount of share capital injected when incorporation into the bank account of the Company (you may refer to the Section 14). 
5. Additional Licenses: at least 1 to 4 weeks - If your business requires additional licenses or permits, the time to obtain these can vary widely.
Overall Time Estimate
In a best-case scenario, you could potentially complete the incorporation process in as little as one week. However, it's more realistic to expect the entire process to take between 2 to 6 weeks, especially if additional licenses are needed.
I hope this gives you a good idea of the time commitment involved. If you have more questions, feel free to ask!"
What are the conditions for incorporating a company in Malaysia?,"Understanding the conditions for incorporating a company is crucial. Here's a straightforward rundown of the key conditions you need to meet to incorporate a company in Malaysia:
Conditions for Incorporating a Company in Malaysia
1. Minimum Age: At least one director and one shareholder must be 18 years old or above.
2. Residency: At least one director must be a resident in Malaysia. This means either a Malaysian citizen or a foreigner with a valid work visa or permanent residency.
3. Company Secretary: You must appoint a company secretary who is either a member of a professional body recognized by the Companies Commission of Malaysia (SSM) or licensed by SSM.
4. Unique Company Name: The company name must be unique and approved by SSM.
5. Registered Office Address: The company must have a physical office address in Malaysia, not a P.O. Box.
6. Share Capital: There is no minimum share capital requirement, but you should allocate a reasonable amount based on your business needs.
7. Constitution: These documents outline the company's objectives and rules. They must be prepared and submitted to SSM.
8. Statutory Declarations: A director or promoter must declare under oath that he/she is not bankrupt and has not been convicted of any criminal offenses.
9. Fees: You'll need to pay a registration fee to SSM. The amount depends on your company's authorized share capital.
10. Additional Licenses: Depending on your business type, you may need additional licenses or permits from relevant authorities.
Optional but Recommended
1. Business Plan: While not a requirement, having a solid business plan can help you navigate the early stages of your business.
2. Financial Planning: Again, not mandatory, but having a financial plan can help you manage your resources better.
By meeting these conditions, you'll be well on your way to successfully incorporating your company in Malaysia. If you have more questions or need further clarification, feel free to ask!"
How can I appoint new directors for my company?,"Appointing new directors is a significant decision and involves a formal process. Here's a simplified guide on how to go about it:
Steps to Appoint New Directors in Malaysia
1. Board Meeting: To convene a board meeting where the appointment of the new director(s) will be discussed. Make sure to send out notices to all existing directors in accordance with your company's Constitution or under Companies Act 2016.
OR
2. Resolution: A resolution to appoint the new director must be passed. The resolution should include details like the director's name, role, and remuneration, among other things, if any.
3. Consent to Act: Obtain a written consent from the individual who is being appointed as a director. This is to confirm that they are willing to take on the role and responsibilities.
4. Statutory Declaration: The new director must make a statutory declaration stating that they are not disqualified from being a director under the Companies Act 2016.
5. Section 58: Complete and submit Section 58 to the Companies Commission of Malaysia (SSM). This form provides details about the new director, such as their name, identification, and address within 14 days from the date of appointment.
6. Update Register of Directors: Update your company's internal Register of Directors to include the details of the new director.
7. Notify Shareholders: While not always mandatory, it's a good practice to inform the shareholders about the new appointment, usually through an Extraordinary General Meeting (EGM) or an Annual General Meeting (AGM), if any.
8. Payment of Fees: There may be a nominal fee for filing the necessary forms with SSM (CLBG).
9. Confirmation: Once SSM has verified the submitted documents and the fees are paid, the new director's appointment is officially recorded (CLBG). 
Important Points to Note
●      The new director must be at least 18 years old.
●      They should not be bankrupt or convicted of any criminal offenses related to the promotion, formation, or management of a corporation.
●      The director should meet any additional criteria as specified in your company's Constitution.
By following these steps, you can successfully appoint a new director for your company in Malaysia. If you have more questions or need further clarification, feel free to ask!"
How can I remove directors from my company?,"Removing a director is a significant action that needs to be handled carefully and in accordance with the law. Here's a step-by-step guide on how to remove directors from a company in Malaysia:
Steps to Remove Directors in Malaysia
1. Check Constitution/Companies Act 2016: Before taking any action, review your company's Constitution to understand the procedures and conditions for removing a director.
2. Board Meeting: Convene a board meeting to discuss the removal of the director. Ensure that you send out notices i.e. 28 days from the date of receipt of the notices from shareholders to all directors, including the one facing removal, as stipulated in your Constitution/ Companies Act 2016.
3. Resolution: A resolution to propose removal of the director must be passed. The resolution should outline the reasons for removal and the effective date.
4. Shareholder Approval: In most cases, the removal of a director must be approved by the shareholders. This is usually done through an Extraordinary General Meeting (EGM) or Annual General Meeting (AGM).
5. Notice to Director: The director who is being removed should be given a notice and an opportunity to be heard, either at the board meeting or the EGM/AGM. The Director should be given chances to read out his statement of defence during the meetings. 
6. Section 58: After the resolution is passed and approved, submit an updated Section 58 to the Companies Commission of Malaysia (SSM) to officially record the removal, subject to the resolution passed during the meeting.
7. Confirmation: Once SSM has verified the submitted documents, the removal of the director is officially recorded.
8. Update Register of Directors: Update your company's internal Register of Directors to remove the details of the outgoing director.
Important Points to Note
●      The director facing removal has the right to be heard and may contest the removal.
●      Ensure that the removal does not breach any employment contract or director's service agreement.
●      The removal must comply with the Companies Act 2016 and any other relevant laws.
By following these steps, you can ensure that the process of removing a director is conducted smoothly and in compliance with Malaysian law. If you have more questions or need further clarification, feel free to ask!"
How can a director resign from my company?,"A director's resignation is a formal process that needs to be managed carefully to ensure compliance with legal requirements. Here's a straightforward guide on how a director can resign from a company in Malaysia:
Steps for a Director's Resignation in Malaysia
1. Written Resignation Letter: The director who wishes to resign should submit a formal resignation letter to the company. The letter should specify the effective date of resignation and any other relevant details.
2. Resolution: To acknowledge and accept the resignation by all directors. Notices for this meeting should be sent to all directors. A resolution to accept the director's resignation should be passed. This resolution will formalize the resignation process.
3. Section 58: After the resignation is accepted, an updated Section 58 must be submitted to the Companies Commission of Malaysia (SSM). This form will indicate the change in directorship.
4. Notify Shareholders: While not mandatory, it's good practice to inform shareholders of the director's resignation, usually through an Annual General Meeting (AGM) or an Extraordinary General Meeting (EGM).
5. Settle Dues: Any financial or contractual obligations between the resigning director and the company should be settled as per the terms agreed upon.
6. Confirmation: Once SSM verifies the submitted documents, the director's resignation is officially recorded.
7. Update Register of Directors: The company's internal Register of Directors should be updated to reflect the resignation.
Important Points to Note
●      The resigning director should ensure they have no outstanding responsibilities or liabilities with the company.
●      The resignation should be in compliance with the company's Articles of Association and any director's service agreement.
●      The process should also align with the provisions of the Companies Act 2016.
By following these steps, you can manage a director's resignation in a manner that is both professional and compliant with Malaysian law. If you have more questions or need further clarification, feel free to ask!"
How long does the process of changing directors take?,"The process of changing directors in a company in Malaysia can vary in duration depending on several factors, such as how quickly you can convene board meetings and obtain shareholder approvals. However, here's a general idea of the timeline:
Typical Timeframe for Changing Directors in Malaysia
1. Director Approval: 3 to 5 days – The board resolution shall be circulated with the letter of resignation of directors. 
2. Submission of Section 58: 1 to 3 working days - After the board resolution, you'll need to submit Section 58 to the Companies Commission of Malaysia (SSM) within 14 days from effective date of resignation.
3. SSM Processing: 1 to 3 working days - SSM usually takes this time to process and update the records.
4. Update Register of Directors: Immediate to 1 day - This is an internal process and can be done as soon as the change is approved.
5. Notification to Shareholders: 1 to 7 days - While not mandatory, it's good practice to inform shareholders of the change. The time for this can vary based on your company's communication methods.
Overall Time Estimate
In a best-case scenario, you could potentially complete the process in as little as one week. However, it's more realistic to expect the entire process to take between 2 to 4 weeks, especially if shareholder approval is needed and if there are notice periods to adhere to.
I hope this gives you a good understanding of the time involved in changing directors for a company in Malaysia. If you have more questions, feel free to ask!"
How can I increase the share capital of my company? ,"Increasing the share capital of your company is a strategic move that involves several steps. Here's a simplified guide on how to go about it:
Steps to Increase Share Capital in Malaysia
1. Review Constitution: Before taking any action, check your company's Constitution and/or Companies Act 2016 to see if there are any provisions or restrictions related to increasing share capital.
2. Resolution: A resolution to propose allotment of shares by Directors has to be passed. Upon approval by Directors, the Shareholders shall pass the resolution of proposed allotment of shares. Upon approval by the Shareholders, the Directors shall pass the allotment of shares. 
3. Shareholder Approval: In most cases, you'll need the approval of the shareholders to increase the share capital. This is usually done through an Extraordinary General Meeting (EGM) or an Annual General Meeting (AGM)/ Members Written Resolution.
4. Section 76, 78 and 51: After obtaining the necessary approvals, you'll need to submit Section 76, 78 and 51 to the Companies Commission of Malaysia (SSM). This form outlines the changes in share capital.
5. Issuance of New Shares: Once the increase in share capital is approved and recorded, you can proceed to issue the new shares as per the resolution.
6. Update Records: Update your company's internal records, including the Register of Members, to reflect the new share capital and share allocations.
7. Notify Stakeholders: While not mandatory, it's good practice to inform all stakeholders, including creditors and employees, about the increase in share capital.
Important Points to Note
8. Make sure the increase in share capital complies with the Companies Act 2016 and any other relevant regulations.
9. Ensure that you have the financial resources to support the increase in share capital, as it may involve issuing new shares or financial commitments.
By following these steps, you can successfully increase the share capital of your company in Malaysia. If you have more questions or need further clarification, feel free to ask!"
How can I allot shares in my company? ,"Increasing the share capital of your company is a strategic move that involves several steps. Here's a simplified guide on how to go about it:
Steps to Increase Share Capital in Malaysia
1. Review Constitution: Before taking any action, check your company's Constitution and/or Companies Act 2016 to see if there are any provisions or restrictions related to increasing share capital.
2. Resolution: A resolution to propose allotment of shares by Directors has to be passed. Upon approval by Directors, the Shareholders shall pass the resolution of proposed allotment of shares. Upon approval by the Shareholders, the Directors shall pass the Allotment of shares. 
3. Shareholder Approval: In most cases, you'll need the approval of the shareholders to increase the share capital. This is usually done through an Extraordinary General Meeting (EGM) or an Annual General Meeting (AGM)/ Members Written Resolution.
4. Section 76, 78 and 51: After obtaining the necessary approvals, you'll need to submit Section 76, 78 and 51 to the Companies Commission of Malaysia (SSM). This form outlines the changes in share capital.
5. Issuance of New Shares: Once the increase of share capital is approved and recorded, you can proceed to issue the new shares as per the resolution.
6. Update Records: Update your company's internal records, including the Register of Members, to reflect the new share capital and share allocations.
7. Notify Stakeholders: While not mandatory, it's good practice to inform all stakeholders, including creditors and employees, about the increase in share capital.
Important Points to Note
8. Make sure the increase in share capital complies with the Companies Act 2016 and any other relevant regulations.
9. Ensure that you have the financial resources to support the increase in share capital, as it may involve issuing new shares or financial commitments.
By following these steps, you can successfully increase the share capital of your company in Malaysia. If you have more questions or need further clarification, feel free to ask!"
How long does it take to increase the share capital of my company?,"The time required to increase the share capital of your company in Malaysia can vary depending on several factors, such as the speed of internal approvals and the processing time by regulatory bodies. Here's a general idea of the timeline:
Typical Timeframe for Increasing Share Capital in Malaysia
1. Resolution: 1 to 2 weeks - Scheduling and conducting a board meeting to discuss the increase in share capital usually takes this long, especially if you need to adhere to notice periods as per your company's Constitution.
2. Shareholder Approval: 1 to 2 weeks - If shareholder approval is required, you'll need to schedule an Extraordinary General Meeting (EGM) or include the matter in the Annual General Meeting (AGM)/Members Written Resolution. This can also take up to two weeks, depending on notice requirements.
3. Submission of Section 76, 78 & 51: 3 to 7 working days - After the board resolution and any required shareholder approvals, you'll need to submit Section 76, 78 & 51 to the Companies Commission of Malaysia (SSM).
4. SSM Processing: 1 to 3 working days - SSM usually takes this time to process and update the records.
5. Issuance of New Shares: 1 to 7 days - Once the increase is approved, you can proceed to issue the new shares, which can take up to a week depending on your internal processes.
6. Update Records: Immediate to 1 day - Updating your company's internal records, like the Register of Members, can be done as soon as the new shares are issued.
Overall Time Estimate
In a best-case scenario, you could potentially complete the process in as little as one week. However, it's more realistic to expect the entire process to take between 2 to 4 weeks, especially if shareholder approval is needed and if there are notice periods to adhere to.
I hope this gives you a good understanding of the time involved in increasing the share capital of a company in Malaysia. If you have more questions, feel free to ask!"
